no,x_coordination,y_coordination,demand,Weight,Delivery Deadline
1,40,50,0,1.982599213,7
2,45,68,10,0.482566394,3
3,45,70,30,2.523553785,1
4,42,66,10,1.4,4
5,42,68,10,2.346393057,7
6,42,65,10,0.893647103,3
7,40,69,20,1.353680815,5
8,40,66,20,2.038255682,7
9,38,68,20,0.87020628,7
10,38,70,10,2.024481908,3
11,35,66,10,2.060311943,6
12,35,69,10,1.97805225,7
13,25,85,20,0.78359562,7
14,22,75,30,2.049969313,5
15,22,85,10,1.851056716,2
16,20,80,40,2.814809857,7
17,20,85,40,1.166051071,3
18,18,75,20,2.070644782,1
19,15,75,20,2.416731745,4
20,15,80,10,1.5,1
21,30,50,10,0.916047345,6
22,30,52,20,0.278965372,1
23,28,52,20,1.859680607,4
24,28,55,10,1.873476269,3
25,25,50,10,0.513261693,7
26,25,52,40,1.741466714,6
27,25,55,10,1.032884571,1
28,23,52,10,0.482806511,4
29,23,55,20,1.208181555,5
30,20,50,10,2.862560989,3
31,20,55,10,1.456263944,6
32,10,35,20,1.13228491,7
33,10,40,30,0.290077681,1
34,8,40,40,2.620075806,6
35,8,45,20,0.302849109,3
36,5,35,10,0.5,7
37,5,45,10,0.711349488,7
38,2,40,20,1.117608887,5
39,0,40,30,0.770988153,2
40,0,45,20,1.577653283,7
41,35,30,10,3.488325279,6
42,35,32,10,1.006474174,7
43,33,32,20,2.481594596,4
44,33,35,10,3.0867416,1
45,32,30,10,0.847043519,5
46,30,30,10,2.919185837,2
47,30,32,30,1.085333176,1
48,30,35,10,0.934435601,2
49,28,30,10,2.130747642,1
50,28,35,10,2.581365664,7
51,26,32,10,2.798806067,7
52,25,30,10,0.736606745,2
53,25,35,10,2.353745569,7
54,44,5,20,2.649517275,6
55,42,10,40,0.633463839,1
56,42,15,10,0.753939743,6
57,49,5,30,2.882759165,7
58,40,15,40,2.203396614,6
59,38,5,30,0.647622873,3
60,38,15,10,1.654061221,2
61,35,5,20,0.76269257,4
62,50,30,10,2.291592789,5
63,50,35,20,1.225608664,5
64,50,40,50,2.467736365,5
65,48,30,10,2.768549482,3
66,48,40,10,1.312065585,6
67,47,35,10,0.799608786,6
68,47,40,10,3.01467023,6
69,45,30,10,1.231641651,6
70,45,35,10,0.794260156,3
71,95,30,30,1.911519461,7
72,95,35,20,1.040419263,5
73,53,30,10,2.61279613,1
74,92,30,10,1.108328987,3
75,53,35,50,0.302477015,3
76,45,65,20,2.039014458,5
77,90,35,10,1.669264374,1
78,88,30,10,1.587904891,5
79,88,35,20,1.686035188,2
80,87,30,10,0.924967708,2
81,85,25,10,0.794513832,3
82,85,35,30,1.745224297,1
83,75,55,20,3.993598849,4
84,72,55,10,2.540223178,6
85,79,58,20,3.94749929,5
86,68,60,30,2.178030987,7
87,66,55,10,2.558871473,1
88,65,55,20,2.395609511,4
89,65,60,30,2.418754515,6
90,63,58,10,1.024255217,6
90,63,58,10,2.292829154,1
91,60,55,10,0.8351271,5
92,60,60,10,0.962940835,6
93,67,85,20,1.163005208,2
94,65,85,40,1.37015819,7
95,65,82,10,1.806877925,3
96,62,80,30,2.001550614,6
97,60,80,10,0.497983956,5
98,60,85,30,0.308373387,1
99,58,75,20,1.429991769,6
100,55,80,10,0.354038815,1
